xh,zygzmc,zybm,cylb,nd
73,钻床工,6-18-01-06,新能源及高端装备,2024-2025年
74,多工序数控机床操作调整工,6-08-01-07,新能源及高端装备,2024-2025年
75,增材制造设备操作员L/S,6-18-01-13,新能源及高端装备,2024-2025年
76,铸造工,6-18-02-01,新能源及高端装备,2024-2025年
77,"
锻造工",6-18-02-02,新能源及高端装备,2024-2025年
78,"
金属热处理工",6-18-02-03,新能源及高端装备,2024-2025年
79,焊工,6-18-02-04,新能源及高端装备,2024-2025年
80,"
机械加工材料切割工",6-18-02-05,新能源及高端装备,2024-2025年
81,镀层工,6-18-03-01,"
新能源及高端装备",2024-2025年
82,涂装工,6-18-03-03,新能源及高端装备,2024-2025年
83,装配钳工,6-20-01-01,新能源及高端装备,2024-2025年
84,机床装调维修工,6-20-03-01,新能源及高端装备,2024-2025年
85,电线电缆制造工,6-24-03-01,新能源及高端装备,2024-2025年
86,电池制造工,6-24-04-00,新能源及高端装备,2024-2025年
87,机械设备安装工,6-29-03-01,新能源及高端装备,2024-2025年
88,电力电气设备安装工,6-29-03-08,"
新能源及高端装备",2024-2025年
89,"
起重装卸机械操作工",6-30-05-01,"
新能源及高端装备",2024-2025年
90,机修钳工,6-31-01-02,新能源及高端装备,2024-2025年
91,"
电工",6-31-01-03,"
新能源及高端装备",2024-2025年
92,"
工程机械维修工",6-31-01-09,"
新能源及高端装备",2024-2025年
93,信息系统运行维护工程技术人员S,2-02-10-08,大数据及算力经济,2024-2025年
94,电子商务师S,4-01-02-02,大数据及算力经济,2024-2025年
95,互联网营销师S,4-01-06-02,大数据及算力经济,2024-2025年
96,计算机程序设计员S,4-04-05-01,大数据及算力经济,2024-2025年
97,计算机软件测试员S,4-04-05-02,大数据及算力经济,2024-2025年
98,信息通信网络终端维修员S,4-12-02-03,"
大数据及算力经济",2024-2025年
99,"
工业机器人系统操作员S",6-30-99-00,大数据及算力经济,2024-2025年
100,工业机器人系统运维员S,6-31-01-10,大数据及算力经济,2024-2025年
101,婴幼儿发展引导员,4-10-01-01,生命健康,2024-2025年
102,保育师,4-10-01-03,生命健康,2024-2025年
103,养老护理员,4-10-01-04,生命健康,2024-2025年
104,家政服务员,4-10-01-05,生命健康,2024-2025年
105,"
保健按摩师",4-10-04-02,生命健康,2024-2025年
106,健康照护师,4-14-01-02,生命健康,2024-2025年
107,白酒酿造工,6-02-06-03,生命健康,2024-2025年
108,医用材料产品生产工,6-21-06-04,生命健康,2024-2025年
109,"
营销员",4-01-02-01,文化旅游,2024-2025年
110,客运车辆驾驶员L,4-02-02-01,文化旅游,2024-2025年
111,无人机驾驶员,4-02-04-06,文化旅游,2024-2025年
112,机动车驾驶教练员,4-02-02-07,文化旅游,2024-2025年
113,快递员,4-02-07-08,文化旅游,2024-2025年
114,快件处理员,4-02-07-09,文化旅游,2024-2025年
115,网约配送员,4-02-07-10,文化旅游,2024-2025年
116,客房服务员,4-03-01-02,文化旅游,2024-2025年
117,中式烹调师,4-03-02-01,文化旅游,2024-2025年
118,中式面点师,4-03-02-02,文化旅游,2024-2025年
119,西式面点师,4-03-02-04,文化旅游,2024-2025年
120,餐厅服务员,4-03-02-05,文化旅游,2024-2025年
121,茶艺师,4-03-02-07,文化旅游,2024-2025年
122,美容师,4-10-03-01,文化旅游,2024-2025年
123,园艺工,5-01-02-02,文化旅游,2024-2025年
124,茶叶加工工,6-02-06-10,文化旅游,2024-2025年
125,建筑信息模型技术员L/S,4-04-05-04,其他,2024-2025年
126,农业技术员,5-05-01-01,其他,2024-2025年
127,缝纫工,6-05-01-03,其他,2024-2025年
128,砌筑工,6-29-01-01,其他,2024-2025年
129,混凝土工,6-29-01-03,其他,2024-2025年
130,钢筋工,6-29-01-04,其他,2024-2025年
131,架子工,6-29-01-05,其他,2024-2025年
132,乡村建设工匠,6-29-01-07,"
其他",2024-2025年
133,筑路工,6-29-02-03,其他,2024-2025年
134,防水工,6-29-02-08,其他,2024-2025年
135,装配式建筑施工员,6-29-99-00,其他,2024-2025年
