xh,xsq,pm25,pm10,o3,no2,so2,co,bysj
46,*高新区,42,78,133,28,6,0.8,2023年3月
47,宜昌,40,77,125,31,8,0.8,2023年3月
48,均值,38,71,124,24,8,0.9,2023年3月
49,宜都市,33,55,127,15,6,1,2023年4月
50,五峰县,19,43,133,12,8,0.8,2023年4月
51,长阳县,28,52,150,13,5,0.7,2023年4月
52,兴山县,22,38,138,11,5,0.6,2023年4月
53,秭归县,27,55,144,33,8,1.2,2023年4月
54,远安县,26,60,147,8,9,0.9,2023年4月
55,当阳市,29,56,137,23,16,0.9,2023年4月
56,枝江市,32,57,149,18,8,0.9,2023年4月
57,*猇亭区,31,57,132,27,8,0.8,2023年4月
58,*西陵区,28,62,143,27,6,0.8,2023年4月
59,*伍家岗区,30,61,148,31,7,1,2023年4月
60,*夷陵区,26,53,148,25,6,0.7,2023年4月
61,*点军区,24,51,140,24,7,0.8,2023年4月
62,*高新区,29,53,156,26,6,0.8,2023年4月
63,宜昌,27,51,142,27,7,0.8,2023年4月
64,均值,27,54,142,21,8,0.8,2023年4月
65,宜都市,28,43,142,13,5,0.8,2023年5月
66,五峰县,14,30,117,12,9,0.6,2023年5月
67,长阳县,26,39,137,11,5,0.6,2023年5月
68,兴山县,18,29,115,10,7,0.6,2023年5月
69,秭归县,23,33,128,35,7,1,2023年5月
70,远安县,20,38,151,6,9,0.6,2023年5月
71,当阳市,25,41,150,18,16,0.8,2023年5月
72,枝江市,29,42,150,17,7,1,2023年5月
73,*猇亭区,27,48,159,27,8,0.8,2023年5月
74,*西陵区,23,42,148,26,7,0.7,2023年5月
75,*伍家岗区,27,45,146,28,6,0.8,2023年5月
76,*夷陵区,22,38,149,22,6,0.7,2023年5月
77,*点军区,22,43,138,22,7,0.8,2023年5月
78,*高新区,25,40,159,22,6,0.8,2023年5月
79,宜昌,24,41,148,24,7,0.8,2023年5月
80,均值,24,39,142,19,8,0.8,2023年5月
81,宜都市,18,25,160,11,6,0.6,2023年6月
82,五峰县,12,25,122,11,6,0.5,2023年6月
83,长阳县,18,27,168,7,6,1.6,2023年6月
84,兴山县,16,25,136,8,7,0.5,2023年6月
85,秭归县,17,25,152,27,7,1,2023年6月
86,远安县,14,31,156,6,10,0.3,2023年6月
87,当阳市,17,29,162,14,11,0.8,2023年6月
88,枝江市,18,27,172,16,7,0.8,2023年6月
89,*猇亭区,19,34,165,23,8,0.8,2023年6月
90,*西陵区,14,27,160,22,7,0.5,2023年6月
91,*伍家岗区,17,29,158,25,6,0.7,2023年6月
92,*夷陵区,13,29,159,21,5,0.6,2023年6月
93,*点军区,13,31,159,19,6,0.6,2023年6月
94,*高新区,18,29,175,22,6,0.6,2023年6月
95,宜昌,16,30,160,22,6,0.6,2023年6月
96,均值,16,28,157,17,7,0.7,2023年6月
97,宜都市,15,29,126,9,8,0.6,2023年7月
98,五峰县,9,22,109,8,7,0.6,2023年7月
99,长阳县,18,23,126,3,7,0.9,2023年7月
100,兴山县,11,22,112,7,8,0.4,2023年7月
101,秭归县,15,22,121,24,9,1,2023年7月
102,远安县,12,32,130,5,10,0.6,2023年7月
103,当阳市,17,28,126,12,11,0.8,2023年7月
104,枝江市,14,24,142,12,6,0.8,2023年7月
105,*猇亭区,17,34,153,21,8,0.8,2023年7月
106,*西陵区,12,30,149,20,5,0.6,2023年7月
107,*伍家岗区,15,27,147,22,2,0.6,2023年7月
108,*夷陵区,10,26,142,14,2,0.6,2023年7月
109,*点军区,10,28,152,15,4,0.7,2023年7月
110,*高新区,16,27,156,19,6,0.6,2023年7月
111,宜昌,13,29,151,19,5,0.6,2023年7月
112,均值,14,27,135,14,7,0.7,2023年7月
113,宜都市,15,29,126,9,8,0.6,2023年8月
114,五峰县,9,22,109,8,7,0.6,2023年8月
115,长阳县,18,23,126,3,7,0.9,2023年8月
116,兴山县,11,22,112,7,8,0.4,2023年8月
117,秭归县,15,22,121,24,9,1,2023年8月
118,远安县,12,32,130,5,10,0.6,2023年8月
119,当阳市,17,28,126,12,11,0.8,2023年8月
120,枝江市,14,24,142,12,6,0.8,2023年8月
121,*猇亭区,17,34,153,21,8,0.8,2023年8月
122,*西陵区,12,30,149,20,5,0.6,2023年8月
123,*伍家岗区,15,27,147,22,2,0.6,2023年8月
124,*夷陵区,10,26,142,14,2,0.6,2023年8月
125,*点军区,10,28,152,15,4,0.7,2023年8月
126,*高新区,16,27,156,19,6,0.6,2023年8月
127,宜昌,13,29,151,19,5,0.6,2023年8月
128,均值,14,27,135,14,7,0.7,2023年8月
129,宜都市,23,36,149,9,6,0.8,2023年9月
130,五峰县,10,18,124,8,5,0.6,2023年9月
131,长阳县,23,34,143,3,4,0.6,2023年9月
132,兴山县,12,19,118,7,9,0.5,2023年9月
133,秭归县,17,22,141,23,5,0.8,2023年9月
134,远安县,16,32,145,7,10,0.9,2023年9月
135,当阳市,19,28,148,14,13,0.8,2023年9月
136,枝江市,21,30,152,14,9,0.7,2023年9月
137,*猇亭区,17,36,150,22,8,0.7,2023年9月
138,*西陵区,15,33,152,21,4,0.8,2023年9月
139,*伍家岗区,17,23,150,20,5,0.7,2023年9月
140,*夷陵区,16,29,148,18,5,0.6,2023年9月
141,*点军区,15,33,162,14,7,0.8,2023年9月
142,*高新区,19,29,162,18,6,0.8,2023年9月
143,宜昌,17,31,155,19,6,0.7,2023年9月
144,均值,17,29,146,14,7,0.7,2023年9月
145,宜都市,29,43,125,15,6,0.8,2023年10月
146,五峰县,14,25,109,10,6,0.6,2023年10月
147,长阳县,23,35,130,7,5,0.6,2023年10月
148,兴山县,17,24,78,9,7,0.6,2023年10月
149,秭归县,24,30,115,30,6,0.8,2023年10月
150,远安县,22,36,134,10,10,0.8,2023年10月
151,当阳市,26,40,140,21,13,0.8,2023年10月
152,枝江市,33,44,150,22,11,0.8,2023年10月
153,*猇亭区,23,43,159,29,7,0.7,2023年10月
154,*西陵区,21,33,132,28,6,0.7,2023年10月
155,*伍家岗区,24,34,135,31,5,0.8,2023年10月
156,*夷陵区,23,37,135,24,7,0.6,2023年10月
157,*点军区,22,35,134,20,8,0.7,2023年10月
158,*高新区,26,36,145,25,6,0.7,2023年10月
159,宜昌,23,36,139,26,7,0.7,2023年10月
160,均值,23,35,130,20,7,0.7,2023年10月
161,宜都市,45,71,90,19,11,0.9,2023年11月
162,五峰县,23,41,91,15,7,1,2023年11月
163,长阳县,32,54,92,14,6,0.8,2023年11月
164,兴山县,23,35,72,14,8,0.7,2023年11月
165,秭归县,26,39,68,30,6,0.8,2023年11月
166,远安县,32,53,98,15,10,0.8,2023年11月
167,当阳市,43,65,100,23,13,1,2023年11月
168,枝江市,39,59,112,27,11,0.8,2023年11月
169,*猇亭区,32,63,116,33,8,0.9,2023年11月
170,*西陵区,36,58,96,33,5,0.8,2023年11月
171,*伍家岗区,40,58,102,34,6,0.9,2023年11月
172,*夷陵区,34,53,97,30,8,0.7,2023年11月
173,*点军区,37,49,94,27,8,0.7,2023年11月
174,*高新区,39,58,101,34,7,0.8,2023年11月
175,宜昌,37,56,102,32,7,0.8,2023年11月
176,均值,34,54,95,25,8,0.8,2023年11月
177,宜都市,67,99,70,24,8,1.3,2023年12月
178,五峰县,41,62,74,19,7,1.4,2023年12月
179,长阳县,59,87,86,17,4,1.4,2023年12月
180,兴山县,43,54,64,18,7,1.2,2023年12月
181,秭归县,46,60,79,31,7,1.1,2023年12月
182,远安县,51,66,78,15,13,1.6,2023年12月
183,当阳市,70,84,77,22,9,1.2,2023年12月
184,枝江市,58,79,87,29,12,1.2,2023年12月
185,*猇亭区,55,86,93,30,9,1.3,2023年12月
186,*西陵区,68,87,74,32,5,1.4,2023年12月
187,*伍家岗区,72,86,72,35,5,1.2,2023年12月
188,*夷陵区,67,92,75,34,8,1.3,2023年12月
189,*点军区,67,79,69,30,7,1.4,2023年12月
190,*高新区,78,96,78,37,6,1.3,2023年12月
191,宜昌,69,88,74,33,6,1.2,2023年12月
192,均值,60,80,77,27,8,1.3,2023年12月
193,宜都市,76,109,82,24,5,1.2,2024年1月
194,五峰县,41,56,84,21,8,1.4,2024年1月
195,长阳县,63,88,87,14,4,1,2024年1月
196,兴山县,44,52,73,15,8,1,2024年1月
197,秭归县,49,59,87,30,6,1.2,2024年1月
198,远安县,52,64,99,14,6,1.3,2024年1月
199,当阳市,68,97,88,21,17,1.3,2024年1月
200,枝江市,71,88,104,26,11,1.4,2024年1月
201,*猇亭区,67,90,104,31,7,1.2,2024年1月
202,*西陵区,75,89,84,33,5,1.4,2024年1月
203,*伍家岗区,80,87,84,32,4,1.2,2024年1月
204,*夷陵区,76,103,89,28,6,1.1,2024年1月
205,*点军区,74,81,88,25,5,1.2,2024年1月
206,*高新区,81,94,93,35,6,1.4,2024年1月
207,宜昌,75,91,91,31,6,1.2,2024年1月
208,均值,66,83,89,25,7,1.2,2024年1月
209,宜都市,47,69,94,11,5,1.1,2024年2月
210,五峰县,30,43,87,13,8,1.1,2024年2月
211,长阳县,42,60,97,5,4,1,2024年2月
212,兴山县,31,35,88,8,8,0.9,2024年2月
213,秭归县,34,42,88,16,6,1.1,2024年2月
214,远安县,34,54,98,8,5,1.3,2024年2月
215,当阳市,46,75,99,12,9,1,2024年2月
216,枝江市,56,69,108,14,9,1,2024年2月
217,*猇亭区,44,62,101,20,6,1.1,2024年2月
218,*西陵区,49,62,90,19,7,1,2024年2月
219,*伍家岗区,51,60,102,19,6,1,2024年2月
220,*夷陵区,52,70,102,18,5,1,2024年2月
221,*点军区,50,55,91,19,5,0.9,2024年2月
222,*高新区,55,64,100,19,6,0.9,2024年2月
223,宜昌,50,62,96,19,6,1,2024年2月
224,均值,44,59,96,14,6,1,2024年2月
225,宜都市,48,93,126,12,8,1,2024年3月
226,五峰县,29,53,106,15,9,1,2024年3月
227,长阳县,41,73,134,9,4,0.8,2024年3月
228,兴山县,30,51,111,13,7,0.8,2024年3月
229,秭归县,38,58,125,30,7,1.2,2024年3月
230,远安县,34,65,128,11,5,1.2,2024年3月
231,当阳市,46,94,131,22,13,0.9,2024年3月
232,枝江市,53,79,141,20,11,0.9,2024年3月
233,*猇亭区,51,86,133,29,8,1,2024年3月
234,*西陵区,52,80,117,28,7,1,2024年3月
235,*伍家岗区,54,78,125,31,8,0.9,2024年3月
236,*夷陵区,50,83,123,26,5,0.8,2024年3月
237,*点军区,50,88,119,24,5,1,2024年3月
238,*高新区,56,81,131,29,6,0.8,2024年3月
239,宜昌,52,83,120,28,7,0.9,2024年3月
240,均值,45,76,125,21,7,1,2024年3月
241,宜都市,32,53,140,9,6,0.8,2024年4月
242,五峰县,15,30,120,8,9,0.5,2024年4月
243,长阳县,24,42,146,1,4,0.8,2024年4月
244,兴山县,20,40,127,9,9,0.7,2024年4月
245,秭归县,25,37,140,29,8,0.7,2024年4月
246,远安县,20,44,144,8,4,0.8,2024年4月
247,当阳市,27,55,140,18,10,0.8,2024年4月
248,枝江市,32,47,147,19,9,0.8,2024年4月
249,*猇亭区,30,57,139,26,8,0.8,2024年4月
250,*西陵区,30,44,136,24,8,0.9,2024年4月
251,*伍家岗区,32,49,144,24,5,0.9,2024年4月
252,*夷陵区,28,43,156,21,5,0.7,2024年4月
253,*点军区,26,43,151,20,6,0.7,2024年4月
254,*高新区,29,44,158,23,6,0.8,2024年4月
255,宜昌,29,47,147,23,6,0.8,2024年4月
256,均值,26,45,142,17,7,0.8,2024年4月
257,宜都市,29,49,168,11,7,0.8,2024年5月
258,五峰县,16,33,143,8,5,0.6,2024年5月
259,长阳县,25,44,168,4,4,1,2024年5月
260,兴山县,18,37,138,8,5,0.5,2024年5月
261,秭归县,26,36,168,30,6,0.5,2024年5月
262,远安县,20,46,172,7,4,0.9,2024年5月
263,当阳市,21,56,180,15,10,0.8,2024年5月
264,枝江市,32,53,184,18,7,0.8,2024年5月
265,*猇亭区,29,56,170,23,8,0.7,2024年5月
266,*西陵区,28,44,169,22,6,0.6,2024年5月
267,*伍家岗区,31,44,178,25,6,0.8,2024年5月
268,*夷陵区,28,46,186,21,5,0.8,2024年5月
269,*点军区,30,45,177,20,6,0.7,2024年5月
270,*高新区,31,46,192,21,7,0.6,2024年5月
271,宜昌,29,47,178,22,6,0.7,2024年5月
272,均值,26,45,171,17,6,0.7,2024年5月
273,宜都市,23,36,164,13,6,0.8,2024年6月
274,五峰县,13,24,124,8,4,0.6,2024年6月
275,长阳县,17,27,164,3,4,0.9,2024年6月
276,兴山县,15,30,132,7,7,0.5,2024年6月
277,秭归县,23,28,159,28,3,0.5,2024年6月
278,远安县,17,36,157,7,4,0.8,2024年6月
279,当阳市,16,44,150,13,7,0.6,2024年6月
280,枝江市,21,33,162,14,5,0.8,2024年6月
281,*猇亭区,21,40,155,21,8,0.7,2024年6月
282,*西陵区,22,33,167,20,5,0.6,2024年6月
283,*伍家岗区,24,30,164,22,6,0.6,2024年6月
284,*夷陵区,22,33,169,18,4,0.6,2024年6月
285,*点军区,20,33,172,20,5,0.6,2024年6月
286,*高新区,24,35,182,19,7,0.5,2024年6月
287,国家考核区域,22,34,165,20,6,0.6,2024年6月
288,全市平均,20,33,159,15,5,0.6,2024年6月
289,宜都市,12,23,110,7,5,0.8,2024年7月
290,五峰县,8,17,76,6,3,0.7,2024年7月
291,长阳县,7,15,96,6,2,0.5,2024年7月
292,兴山县,8,21,101,6,7,0.6,2024年7月
293,秭归县,11,18,105,18,3,0.6,2024年7月
294,远安县,10,23,109,5,4,0.8,2024年7月
295,当阳市,7,29,106,10,6,0.6,2024年7月
296,枝江市,12,22,99,7,5,0.9,2024年7月
297,*猇亭区,9,25,122,19,8,0.7,2024年7月
298,*西陵区,11,21,119,18,5,0.7,2024年7月
299,*伍家岗区,13,16,109,17,3,0.5,2024年7月
300,*夷陵区,11,23,125,14,3,0.6,2024年7月
301,*点军区,9,22,130,15,5,0.6,2024年7月
302,*高新区,13,23,120,15,6,0.7,2024年7月
303,宜昌,11,22,120,16,5,0.6,2024年7月
304,均值,10,21,109,12,5,0.7,2024年7月
305,宜都市,18,32,144,6,8,0.8,2024年8月
306,五峰县,11,21,108,6,5,0.7,2024年8月
307,长阳县,13,26,152,4,4,0.6,2024年8月
308,兴山县,12,29,118,7,8,0.7,2024年8月
309,秭归县,16,25,138,19,4,0.4,2024年8月
310,远安县,13,37,136,5,5,0.8,2024年8月
311,当阳市,22,36,144,12,5,0.8,2024年8月
312,枝江市,18,30,132,10,6,0.8,2024年8月
313,*猇亭区,15,33,157,19,7,0.8,2024年8月
314,*西陵区,16,27,151,18,4,0.9,2024年8月
315,*伍家岗区,18,21,152,17,4,0.6,2024年8月
316,*夷陵区,12,27,153,13,3,0.6,2024年8月
317,*点军区,14,29,152,15,7,0.6,2024年8月
318,*高新区,19,30,163,14,6,0.7,2024年8月
319,宜昌,16,28,154,16,5,0.7,2024年8月
320,均值,16,29,143,12,5,0.7,2024年8月
321,宜都市,29,45,175,10,5,0.8,2024年9月
