FLOW_AREA,RV_BAS_AREA,RV_GRAD,RV_LEN,RV_NAME,RV_TYPE
当阳市-庙前镇-普济寺村/当阳市-淯溪镇-白石港村,10,7,6,普济寺沟,1
当阳市-淯溪镇-水田湾村/当阳市-淯溪镇-白石港村/当阳市-淯溪镇-马店村,63,6,23,大石头河,1
当阳市-淯溪镇-红旗村/当阳市-淯溪镇-白石港村,15,7,6,干柴沟（干枝沟）,1
远安县-茅坪场镇-铁炉湾村/远安县-茅坪场镇-晓坪村/远安县-茅坪场镇-龙河村,146,6,47,丁家河,1
远安县,25,7,10,小秦沟（晓秦河）,1
当阳市-淯溪镇-前明村,24,7,10,羊尾河,1
远安县,42,6,17,温家河,1
远安县,17,7,8,庄屋河,1
远安县,14,6,3,北岔沟,1
远安县,21,6,8,巩峪河,1
远安县,12,6,6,漳沐峪（漳沐沟）,1
枝江市,188,6,34,鲜家港,1
枝江市,59,7,21,陶家河,1
当阳市-草埠湖镇-楚城村,180,6,38,百里长渠,1
当阳市-半月镇-燎原村/当阳市-半月镇-先锋村/当阳市-草埠湖镇-邵冲村,53,7,18,卢家港（燎原港）,1
当阳市-半月镇-春光村/当阳市-半月镇-紫盖村/当阳市-半月镇-先锋村/当阳市-半月镇-红光村/当阳市-草埠湖镇-新河村,28,7,16,汪家院子河（卢家港）,1
当阳市-半月镇-罗店村,18,7,6,吕家冲（潘家垱）,1
当阳市,187,4,67,巩河,1
远安县,13,6,6,曹家冲,1
远安县,29,6,10,牛脑壳河,1
远安县,25,6,5,熊家河,1
远安县,11,6,3,孙家冲,1
远安县-茅坪场镇-何家湾村/远安县-茅坪场镇-茅坪场村/远安县-茅坪场镇-福河村/远安县-鸣凤镇-北门村,85,6,25,九子溪,1
远安县,14,7,5,石龙沟,1
远安县,18,6,6,纸房溪,1
远安县,14,7,10,大汉口河,1
远安县,37,6,5,裴家冲,1
远安县,117,6,30,红岩河（远安）,1
远安县,18,8,6,刘家河,1
远安县,79,6,11,五里河,1
远安县,39,7,18,二虎冲（五里河东支）,1
当阳市-玉泉街道-合意村/当阳市-玉泉街道-子龙村/当阳市-王店镇-新店村/当阳市-王店镇-木店村/当阳市-玉阳街道-新民村/当阳市-玉阳街道-三里港村/当阳市-坝陵街道-何畈村,88,6,25,玉泉河,1
当阳市,71,6,26,红岩河（当阳）,1
当阳市,37,6,12,北冲,1
当阳市,35,6,9,官道河,1
当阳市,30,6,15,峡口河,1
当阳市,54,6,10,清溪,1
远安县,51,6,13,麻洋河,1
远安县,12,6,4,辛家冲,1
远安县,41,6,16,龙潭河（远安）,1
远安县,50,6,16,贾家寺沟（瓦屋湾沟）,1
远安县,82,6,23,鸣凤河（宝华寺河）,1
远安县,12,6,4,陈家冲（远安）,1
