xh,px,xsq,bynd,bysj
249,6,*点军区,150,2025年4月
250,7,*猇亭区,154,2025年4月
251,7,*高新区,154,2025年4月
252,8,秭归县,157,2025年4月
253,9,长阳县,160,2025年4月
254,10,远安县,165,2025年4月
255,,国家考核区域,148,2025年4月
256,,全市平均,147,2025年4月
257,1,五峰县,130,2025年5月
258,2,*点军区,143,2025年5月
259,3,*伍家岗区,143,2025年5月
260,4,兴山县,148,2025年5月
261,5,*猇亭区,152,2025年5月
262,6,*夷陵区,153,2025年5月
263,7,*西陵区,157,2025年5月
264,8,宜都市,162,2025年5月
265,9,枝江市,162,2025年5月
266,10,秭归县,165,2025年5月
267,11,当阳市,166,2025年5月
268,12,远安县,167,2025年5月
269,13,*高新区,172,2025年5月
270,14,长阳县,173,2025年5月
271,,国家考核区域,152,2025年5月
272,,全市平均,157,2025年5月
273,1,五峰县,136,2025年6月
274,2,*猇亭区,148,2025年6月
275,3,远安县,149,2025年6月
276,4,兴山县,149,2025年6月
277,5,*伍家岗区,150,2025年6月
278,6,*夷陵区,151,2025年6月
279,7,*西陵区,151,2025年6月
280,8,*点军区,155,2025年6月
281,9,宜都市,158,2025年6月
282,10,*高新区,159,2025年6月
283,11,当阳市,160,2025年6月
284,12,枝江市,162,2025年6月
285,13,长阳县,166,2025年6月
286,14,秭归县,171,2025年6月
287,,国家考核区域,149,2025年6月
288,,全市平均,155,2025年6月
289,1,五峰县,104,2025年7月
290,2,枝江市,122,2025年7月
291,3,兴山县,126,2025年7月
292,4,远安县,131,2025年7月
293,5,*伍家岗区,133,2025年7月
294,6,当阳市,136,2025年7月
295,7,秭归县,137,2025年7月
296,8,*夷陵区,142,2025年7月
297,9,*西陵区,143,2025年7月
298,10,*猇亭区,143,2025年7月
299,11,长阳县,143,2025年7月
300,12,*点军区,144,2025年7月
301,13,宜都市,145,2025年7月
302,14,*高新区,148,2025年7月
303,,国家考核区域,141,2025年7月
304,,全市平均,136,2025年7月
305,1,五峰县,101,2025年8月
306,2,兴山县,112,2025年8月
307,3,枝江市,114,2025年8月
308,4,*猇亭区,119,2025年8月
309,5,当阳市,124,2025年8月
310,6,远安县,126,2025年8月
311,7,*伍家岗区,129,2025年8月
312,8,秭归县,130,2025年8月
313,9,*夷陵区,132,2025年8月
314,10,宜都市,136,2025年8月
315,11,长阳县,140,2025年8月
316,12,*西陵区,142,2025年8月
317,13,*高新区,151,2025年8月
318,14,*点军区,155,2025年8月
319,,国家考核区域,138,2025年8月
320,,全市平均,129,2025年8月
