xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
309,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年4月
310,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.00%,溶解氧（-）,1,5.5,下雨，面源污染；渔洋河净流量较小，水体自净能力减弱,2025年4月
311,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.00%,总磷(0.26-0.52),3,0.126-0.152,下雨，面源污染；渔洋河净流量较小，水体自净能力减弱,2025年4月
312,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年4月
313,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年5月
314,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年5月
315,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年5月
316,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,58.10%,溶解氧（-）,5,5.0-5.9,铁路大桥上游管网破裂、下雨，面源污染,2025年5月
317,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,58.10%,高锰酸盐指数(0.15),1,4.6,铁路大桥上游管网破裂、下雨，面源污染,2025年5月
318,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,58.10%,总磷(0.04-1.31),12,0.104-0.231,铁路大桥上游管网破裂、下雨，面源污染,2025年5月
319,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,71.00%,溶解氧（-）,4,5.0-5.5,下雨，面源污染，水体流动性差,2025年5月
320,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,71.00%,高锰酸盐指数(0.025-0.1),5,4.1-4.4,下雨，面源污染，水体流动性差,2025年5月
321,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,71.00%,氨氮(0.02-1.24),3,0.51-1.12,下雨，面源污染，水体流动性差,2025年5月
322,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,溶解氧（-）,7,3.8-5.9,下雨，面源污染，回水区,2025年5月
323,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷（0.05）,32.30%,高锰酸盐指数(0.1),1,4.4,面源和点源污染,2025年5月
324,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷（0.05）,32.30%,总磷(0.01-0.69),20,0.101-0.169,面源和点源污染,2025年5月
325,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2025年5月
326,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅰ类,优,--,100.00%,--,--,--,--,2025年5月
327,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年5月
328,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅰ类,Ⅱ类,优,--,96.80%,溶解氧（-）,1,5.9,下雨，面源污染,2025年5月
329,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2025年5月
330,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,90.30%,溶解氧（-）,1,3.7,下雨，面源污染，水量太小，流动性较弱,2025年5月
331,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,90.30%,高锰酸盐指数(0.12-0.13),2,6.7-6.8,下雨，面源污染，水量太小，流动性较弱,2025年5月
332,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,90.30%,氨氮(0.07),1,1.07,下雨，面源污染，水量太小，流动性较弱,2025年5月
333,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,90.30%,总磷(0.135),1,0.227,下雨，面源污染，水量太小，流动性较弱,2025年5月
334,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年5月
335,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,溶解氧（-）,1,5.9,一是河净流量较小，水体自净能力减弱，水体富营养化；二是城区河道施工；三是降雨，面源污染。,2025年5月
336,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,总磷(0.06-0.2),7,0.106-0.12,一是河净流量较小，水体自净能力减弱，水体富营养化；二是城区河道施工；三是降雨，面源污染。,2025年5月
337,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年5月
338,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.30%,溶解氧（-）,2,5.8-5.9,下雨，面源污染,2025年6月
339,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年6月
340,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年6月
341,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,56.70%,溶解氧（-）,3,5.5-5.7,下雨，面源污染,2025年6月
342,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,56.70%,高锰酸盐指数（0.025),2,4.1,下雨，面源污染,2025年6月
343,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,56.70%,总磷(0.04-1.29),10,0.104-0.229,下雨，面源污染,2025年6月
344,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数(0.25),33.30%,溶解氧（-）,10,3.2-5.7,"下雨，面源污染,采水口离岸边太近，处于回水区",2025年6月
345,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数(0.25),33.30%,高锰酸盐指数(0.05-1.025),20,4.2-8.1,"下雨，面源污染,采水口离岸边太近，处于回水区",2025年6月
346,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数(0.25),33.30%,氨氮(0.26-1.38),4,0.63-1.19,"下雨，面源污染,采水口离岸边太近，处于回水区",2025年6月
347,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅲ类,良好,高锰酸盐指数(0.25),33.30%,总磷(0.04-0.56),5,0.104-0.156,"下雨，面源污染,采水口离岸边太近，处于回水区",2025年6月
348,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,溶解氧（-）高锰酸盐指数(0.175),6.70%,溶解氧（-）,22,3-5.5,下雨，面源污染，回水区,2025年6月
349,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,溶解氧（-）高锰酸盐指数(0.175),6.70%,高锰酸盐指数(0.175-0.525),24,4.7-6.1,下雨，面源污染，回水区,2025年6月
350,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,溶解氧（-）高锰酸盐指数(0.175),6.70%,氨氮(0.14),1,0.57,下雨，面源污染，回水区,2025年6月
351,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅲ类,良好,溶解氧（-）高锰酸盐指数(0.175),6.70%,总磷(0.09-1.5),11,0.109-0.25,下雨，面源污染，回水区,2025年6月
352,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅲ类,Ⅱ类,优,--,86.70%,总磷(0.08-0.31),4,0.108-0.131,下雨，面源污染,2025年6月
353,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2025年6月
354,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅰ类,Ⅱ类,优,--,96.70%,总磷(0.3),1,0.13,下雨，面源污染,2025年6月
355,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,73.30%,溶解氧（-）,5,4.3-5.9,下雨，面源污染，回水区,2025年6月
356,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,73.30%,总磷(0.06-0.5),6,0.106-0.15,下雨，面源污染，回水区,2025年6月
357,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,高锰酸盐指数(0.45),1,5.8,下雨，面源污染,2025年6月
358,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅰ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年6月
359,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,83.30%,溶解氧（-）,3,3.6-4.0,下雨，面源污染,2025年6月
360,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,83.30%,高锰酸盐指数(0.03-0.4),2,6.2-8.4,下雨，面源污染,2025年6月
361,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,83.30%,总磷(0.145-1.84),3,0.229-0.568,下雨，面源污染,2025年6月
362,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.00%,高锰酸盐指数(0.1-0.9),2,4.4-7.6,下雨，面源污染,2025年6月
363,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,90.00%,总磷(0.13-1.41),3,0.113-0.241,下雨，面源污染,2025年6月
364,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,86.70%,高锰酸盐指数(2),1,12,下雨，面源污染,2025年6月
365,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,86.70%,氨氮(0.14),1,0.57,下雨，面源污染,2025年6月
366,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,86.70%,总磷(0.05-2.94),4,0.105-0.394,下雨，面源污染,2025年6月
367,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年6月
368,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.90%,溶解氧（-）,5,5.7-5.9,水体流动性差，下雨，面源污染,2025年7月
369,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.90%,总磷(0.06),1,0.106,水体流动性差，下雨，面源污染,2025年7月
370,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年7月
371,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年7月
372,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅲ类,良好,总磷(0.4),45.20%,高锰酸盐指数(0.025-0.95),4,4.1-7.8,下雨，面源污染,2025年7月
373,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅲ类,良好,总磷(0.4),45.20%,总磷(0.09-4.24),16,0.109-0.524,下雨，面源污染,2025年7月
374,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.13),19.00%,溶解氧（-）,3,4.4-5.5,"下雨，面源污染,水体流动性差",2025年7月
375,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.13),19.00%,高锰酸盐指数(0.075-0.375),8,4.3-5.5,"下雨，面源污染,水体流动性差",2025年7月
376,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.13),19.00%,总磷(0.03-0.66),14,0.103-0.166,"下雨，面源污染,水体流动性差",2025年7月
377,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅲ类,Ⅲ类,良好,高锰酸盐指数(0.05)、总磷(0.15),22.60%,溶解氧（-）,13,4.3-5.9,下雨，面源污染，回水区,2025年7月
378,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅲ类,Ⅲ类,良好,高锰酸盐指数(0.05)、总磷(0.15),22.60%,高锰酸盐指数(0.025-0.425),17,4.1-5.7,下雨、面源污染、受上游来水影响及回水区,2025年7月
379,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅲ类,Ⅲ类,良好,高锰酸盐指数(0.05)、总磷(0.15),22.60%,总磷(0.02-1.11),17,0.102-0.211,下雨、面源污染、受上游来水影响及回水区,2025年7月
380,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,溶解氧（-）,7,3.9-5.9,下雨，面源污染，回水区,2025年7月
381,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2025年7月
382,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年7月
383,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,73.30%,溶解氧（-）,8,3.1-5.6,下雨，面源污染，回水区,2025年7月
384,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,73.30%,总磷(0.1),1,0.11,下雨，面源污染，回水区,2025年7月
385,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅱ类,Ⅲ类,良好,溶解氧（-）,41.90%,溶解氧（-）,18,4.4-5.9,水位太低，水体流动性差，水草多，下雨、面源污染,2025年7月
386,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,82.60%,pH（-）,1,10,水华,2025年7月
387,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,82.60%,高锰酸盐指数(0.025-0.11),3,4.1-4.44,水华,2025年7月
388,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,80.00%,高锰酸盐指数(0.37),1,8.2,下雨，面源污染,2025年7月
389,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,80.00%,总磷(0.055-0.6),2,0.211-0.32,下雨，面源污染,2025年7月
390,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年7月
391,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.90%,高锰酸盐指数(0.05-0.425),3,4.2-5.7,下雨，面源污染,2025年7月
392,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,83.90%,总磷(0.01-2.87),5,0.101-0.387,下雨，面源污染,2025年7月
393,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,91.30%,总磷(0.025-0.04）,2,0.205-0.208,下雨，面源污染,2025年7月
394,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年8月
395,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年8月
396,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.80%,溶解氧（-）,1,5.8,下雨，面源污染,2025年8月
397,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅲ类,Ⅱ类,优,--,83.90%,高锰酸盐指数(0.05),1,4.2,下雨，面源污染,2025年8月
398,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅲ类,Ⅱ类,优,--,83.90%,总磷(0.1-0.57),4,0.11-0.157,下雨，面源污染,2025年8月
399,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.37),22.60%,溶解氧（-）,6,5.3-5.9,"下雨，面源污染,水体流动性差",2025年8月
400,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.37),22.60%,高锰酸盐指数(0.075-0.35),5,4.3-5.4,"下雨，面源污染,水体流动性差",2025年8月
401,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.37),22.60%,氨氮(0.18),1,0.59,"下雨，面源污染,水体流动性差",2025年8月
402,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅲ类,Ⅲ类,良好,总磷(0.37),22.60%,总磷(0.02-1.98),24,0.102-0.298,"下雨，面源污染,水体流动性差",2025年8月
403,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅲ类,Ⅱ类,优,--,58.10%,溶解氧（-）,6,4.5-5.6,下雨，面源污染，回水区,2025年8月
404,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅲ类,Ⅱ类,优,--,58.10%,高锰酸盐指数(0.025-0.5),6,4.1-6,下雨、面源污染、受上游来水影响及回水区,2025年8月
405,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅲ类,Ⅱ类,优,--,58.10%,总磷(0.08-1.22),13,0.108-0.222,下雨、面源污染、受上游来水影响及回水区,2025年8月
406,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,77.40%,溶解氧（-）,7,4.5-5.5,下雨，面源污染，回水区,2025年8月
407,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅰ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年8月
408,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,84.00%,溶解氧（-）,4,4.8-5.8,下雨，面源污染，回水区,2025年8月
409,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,45.20%,溶解氧（-）,17,2.3-5.9,下雨，面源污染，回水区,2025年8月
410,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅱ类,Ⅱ类,优,--,45.20%,总磷(0.05-0.1）,2,0.105-0.11,下雨，面源污染，回水区,2025年8月
411,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅲ类,Ⅱ类,优,--,60.00%,溶解氧（-）,12,5.5-5.9,水位太低，水体流动性差，水草多，下雨、面源污染,2025年8月
412,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,38.70%,pH（-）,7,10,水华,2025年8月
413,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,38.70%,高锰酸盐指数(0.025-0.25),15,4.1-5,水华、下雨、面源污染,2025年8月
414,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,38.70%,总磷(0.01-0.1),4,0.101-0.11,水华、下雨、面源污染,2025年8月
415,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,87.10%,高锰酸盐指数(0.28-0.0.32),2,7.7-7.9,下雨，面源污染,2025年8月
416,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅲ类,Ⅲ类,良好,--,87.10%,总磷(0.075-0.47),4,0.215-0.294,下雨，面源污染,2025年8月
417,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2025年8月
418,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.50%,高锰酸盐指数(0.1),1,4.4,下雨，面源污染,2025年8月
419,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,93.50%,总磷(0.54-2.57),2,0.154-0.357,下雨，面源污染,2025年8月
420,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅲ类,良好,--,76.50%,高锰酸盐指数(0.11),1,7.8,下雨，面源污染,2025年8月
421,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅲ类,良好,--,76.50%,总磷(0.005-1.26),4,0.201-0.452,下雨，面源污染,2025年8月
