xh,stxz,dwxz,stmc,zdzmc,ssxsq,szghlb,szjclbsy,szjclbby,szxz,jnljcbxm,rjzdbl,bycbxm,cbts,cbznd,bz,bysj
66,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,总磷(0.28),1,0.128,下雨、面源污染,2024年4月
67,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,60.00%,总磷(0.01-0.32),12,0.101-0.132,下雨、面源污染；三峡大坝放水，导致库区水位下降，加之上游来水减少，库容变小，水体自净能力变差导致,2024年4月
68,河流,国控,清江,隔河岩水库坝上,长阳县,Ⅱ类,Ⅱ类,Ⅰ类,优,--,96.80%,--,--,--,--,2024年4月
69,河流,国控,清江,清江大桥,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
70,河流,长江经济带,黄柏河,黄柏河大桥,夷陵区,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年4月
71,河流,长江经济带,黄柏河,东支（天府庙）,远安县,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年4月
72,河流,长江经济带,清江,朱津滩,宜都市,Ⅱ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年4月
73,河流,长江经济带,柏临河,土门大桥,夷陵区,Ⅲ类,Ⅱ类,Ⅱ类,优,--,90.00%,溶解氧（-）,3,4.5-4.9,水草丰茂，光合作用、呼吸作用影响，水体流动性差,2024年4月
74,河流,长江经济带,天池河,纸坊头,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
75,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,高锰酸盐指数(0.225),1,4.9,下雨、面源污染,2024年4月
76,河流,长江经济带,渔洋河,马勒坡,五峰县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,总磷(0.04),1,0.104,下雨、面源污染,2024年4月
77,河流,省控,九畹溪,九畹溪河口,秭归县,Ⅲ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年4月
78,湖库,市控,善溪冲水库,善溪冲水库,猇亭区,Ⅲ类,Ⅱ类,Ⅲ类,良好,--,100.00%,--,--,--,--,2024年4月
79,湖库,市控,官庄水库,官庄水库,夷陵区,Ⅲ类,Ⅰ类,Ⅰ类,优,--,100.00%,--,--,--,--,2024年4月
80,河流,国控,长江,南津关,宜昌市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
81,河流,国控,长江,云池（白洋）,宜都市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
82,河流,国控,长江,砖瓦厂,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,100.00%,--,--,--,--,2024年5月
83,河流,国控,沮河,铁路大桥（小桂林）,远安县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.70%,--,--,--,--,2024年5月
84,河流,国控,沮漳河,两河口（草埠湖水厂）,当阳市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,64.50%,溶解氧（-）,11,5.3-5.9,下雨、流动性差,2024年5月
85,河流,国控,沮漳河,荆州河口,枝江市,Ⅱ类,Ⅱ类,Ⅱ类,优,--,92.30%,溶解氧（-）,2,5.6-5.7,下雨、回水区,2024年5月
86,河流,国控,香溪河,长沙坝,兴山县,Ⅱ类,Ⅱ类,Ⅱ类,优,--,96.80%,总磷(0.05),1,0.105,下雨、面源污染,2024年5月
