xh,px,xsq,jsntqzf,bqsj
191,,国家考核区域,26.9,2025年1～2月
192,,全市平均,29.2,2025年1～2月
193,1,宜都市,0,2025年1～3月
194,2,*猇亭区,5,2025年1～3月
195,3,*夷陵区,5.8,2025年1～3月
196,4,五峰县,5.9,2025年1～3月
197,5,当阳市,10,2025年1～3月
198,6,枝江市,10.1,2025年1～3月
199,7,*伍家岗区,10.5,2025年1～3月
200,8,*西陵区,11.5,2025年1～3月
201,9,*点军区,11.7,2025年1～3月
202,10,长阳县,13.5,2025年1～3月
203,11,兴山县,14.9,2025年1～3月
204,12,*高新区,15,2025年1～3月
205,13,秭归县,31.5,2025年1～3月
206,14,远安县,45.9,2025年1～3月
207,,国家考核区域,7.5,2025年1～3月
208,,全市平均,12.3,2025年1～3月
209,1,宜都市,4.9,2025年1～4月
210,2,*猇亭区,8.1,2025年1～4月
211,3,*夷陵区,11.8,2025年1～4月
212,4,五峰县,13,2025年1～4月
213,5,当阳市,14.8,2025年1～4月
214,6,枝江市,15.5,2025年1～4月
215,7,*伍家岗区,15.9,2025年1～4月
216,8,*西陵区,17.1,2025年1～4月
217,9,兴山县,17.8,2025年1～4月
218,10,*点军区,19.1,2025年1～4月
219,11,*高新区,21.1,2025年1～4月
220,12,长阳县,21.2,2025年1～4月
221,13,秭归县,36,2025年1～4月
222,14,远安县,49.1,2025年1～4月
223,,国家考核区域,16.9,2025年1～4月
224,,全市平均,18.2,2025年1～4月
225,1,宜都市,5.3,2025年1～5月
226,2,*猇亭区,5.6,2025年1～5月
227,3,*夷陵区,12.9,2025年1～5月
228,4,当阳市,13.2,2025年1～5月
229,5,枝江市,13.4,2025年1～5月
230,6,五峰县,14,2025年1～5月
231,7,*西陵区,15.4,2025年1～5月
232,8,*点军区,15.6,2025年1～5月
233,9,兴山县,16.3,2025年1～5月
234,10,*伍家岗区,17.2,2025年1～5月
235,11,长阳县,19.7,2025年1～5月
236,12,*高新区,19.7,2025年1～5月
237,13,秭归县,34,2025年1～5月
238,14,远安县,43.6,2025年1～5月
239,,国家考核区域,13.4,2025年1～5月
240,,全市平均,16,2025年1～5月
241,1,*猇亭区,1.5,2025年1～6月
242,2,宜都市,2.9,2025年1～6月
243,3,当阳市,5.7,2025年1～6月
244,4,*夷陵区,7.9,2025年1～6月
245,5,兴山县,9.8,2025年1～6月
246,6,枝江市,9.8,2025年1～6月
247,7,五峰县,10,2025年1～6月
248,8,*西陵区,11.9,2025年1～6月
249,9,*伍家岗区,12.1,2025年1～6月
250,10,*点军区,12.1,2025年1～6月
251,11,*高新区,14.8,2025年1～6月
252,12,长阳县,16.1,2025年1～6月
253,13,秭归县,27.3,2025年1～6月
254,14,远安县,36.5,2025年1～6月
255,,国家考核区域,9.8,2025年1～6月
256,,全市平均,12.3,2025年1～6月
257,1,*猇亭区,0,2025年1～7月
258,2,宜都市,0,2025年1～7月
259,3,当阳市,3.1,2025年1～7月
260,4,兴山县,5.3,2025年1～7月
261,5,*夷陵区,7,2025年1～7月
262,6,五峰县,8.1,2025年1～7月
263,7,*西陵区,9.4,2025年1～7月
264,8,枝江市,10.9,2025年1～7月
265,9,*伍家岗区,11.5,2025年1～7月
266,10,*点军区,11.5,2025年1～7月
267,11,*高新区,12.7,2025年1～7月
268,12,长阳县,16,2025年1～7月
269,13,秭归县,25,2025年1～7月
270,14,远安县,36.2,2025年1～7月
271,,国家考核区域,7.3,2025年1～7月
272,,全市平均,9.6,2025年1～7月
273,1,兴山县,-2.7,2025年1～8月
274,2,*猇亭区,-1.8,2025年1～8月
275,3,宜都市,-1.7,2025年1～8月
276,4,当阳市,1.7,2025年1～8月
277,5,五峰县,2.9,2025年1～8月
278,6,*夷陵区,3.8,2025年1～8月
279,7,*西陵区,6,2025年1～8月
280,8,枝江市,7.7,2025年1～8月
281,9,*点军区,8.2,2025年1～8月
282,10,*伍家岗区,8.3,2025年1～8月
283,11,*高新区,9.6,2025年1～8月
284,12,长阳县,12.8,2025年1～8月
285,13,秭归县,21.1,2025年1～8月
286,14,远安县,30.4,2025年1～8月
287,,国家考核区域,5.9,2025年1～8月
288,,全市平均,6.1,2025年1～8月
