xh,xsq,yts,lts,qdwrts,zdwrts1,zdwrts2,yzwrts,yltsbl,jsntqzf,bqsj
51,秭归县,47,93,7,1,0,0,94.6,4.6,2024年1～5月
52,远安县,46,90,15,1,0,0,89.5,2.7,2024年1～5月
53,长阳县,38,93,19,2,0,0,86.2,6.9,2024年1～5月
54,*猇亭区,28,95,25,2,0,0,82,8.2,2024年1～5月
55,宜都市,32,92,24,4,0,0,81.6,7.4,2024年1～5月
56,*西陵区,32,87,26,3,0,0,80.4,4,2024年1～5月
57,当阳市,24,97,26,4,1,0,79.6,4.1,2024年1～5月
58,枝江市,23,93,32,3,1,0,76.3,0.1,2024年1～5月
59,*点军区,30,75,30,5,0,0,75,-0.2,2024年1～5月
60,*伍家岗区,22,86,30,8,0,0,74,-2.5,2024年1～5月
61,*夷陵区,27,83,34,6,0,0,73.3,-3.7,2024年1～5月
62,*高新区,22,79,44,6,0,0,66.9,-4.9,2024年1～5月
63,国家考核区域,28,89,31,4,0,0,77,0.8,2024年1～5月
64,全市平均,,,,,,,82.6,2.9,2024年1～5月
65,兴山县,79,99,2,0,0,0,98.9,7.8,2024年1～6月
66,五峰县,89,91,2,0,0,0,98.9,5.1,2024年1～6月
67,秭归县,55,112,10,1,0,0,93.8,2.8,2024年1～6月
68,远安县,53,112,16,1,0,0,90.7,2.3,2024年1～6月
69,长阳县,47,110,23,2,0,0,86.3,5.9,2024年1～6月
70,*猇亭区,38,111,28,2,0,0,83.2,7.3,2024年1～6月
71,宜都市,40,110,28,4,0,0,82.4,5.6,2024年1～6月
72,当阳市,33,117,27,4,1,0,82.4,5.1,2024年1～6月
73,*西陵区,39,104,31,3,0,0,80.8,2.1,2024年1～6月
74,枝江市,30,112,36,3,1,0,78,0.7,2024年1～6月
75,*伍家岗区,29,105,34,8,0,0,76.1,-3.1,2024年1～6月
76,*夷陵区,33,101,40,6,0,0,74.4,-4.7,2024年1～6月
77,*点军区,37,89,39,5,0,0,74.1,-3.7,2024年1～6月
78,*高新区,29,91,55,6,0,0,66.3,-7,2024年1～6月
79,国家考核区域,35,106,37,4,0,0,77.5,-1,2024年1～6月
80,全市平均,,,,,,,83.3,1.9,2024年1～6月
81,五峰县,118,92,2,0,0,0,99.1,4.4,2024年1～7月
82,兴山县,106,102,2,0,0,0,99,6.7,2024年1～7月
83,秭归县,80,118,10,1,0,0,94.7,2.4,2024年1～7月
84,远安县,77,119,16,1,0,0,92,1.9,2024年1～7月
85,长阳县,75,113,23,2,0,0,88.3,5.9,2024年1～7月
86,*猇亭区,60,119,29,2,0,0,85.2,7.1,2024年1～7月
87,宜都市,66,115,28,4,0,0,85,4.8,2024年1～7月
88,当阳市,57,124,27,4,1,0,85,4.3,2024年1～7月
89,*西陵区,61,109,31,3,0,0,83.3,1.6,2024年1～7月
90,枝江市,59,114,36,3,1,0,81.2,1.5,2024年1～7月
91,*伍家岗区,55,110,34,8,0,0,79.7,-2.1,2024年1～7月
92,*夷陵区,48,117,40,6,0,0,78.2,-4,2024年1～7月
93,*点军区,55,102,39,5,0,0,78.1,-1.9,2024年1～7月
94,*高新区,48,101,56,6,0,0,70.6,-5.3,2024年1～7月
95,国家考核区域,56,116,37,4,0,0,80.8,0.1,2024年1～7月
96,全市平均,,,,,,,85.7,2,2024年1～7月
97,兴山县,120,119,2,0,0,0,99.2,5.9,2024年1～8月
98,五峰县,140,101,2,0,0,0,99.2,3.8,2024年1～8月
99,秭归县,87,142,10,1,0,0,95.4,2.1,2024年1～8月
100,远安县,87,140,16,1,0,0,93,1.6,2024年1～8月
101,长阳县,86,130,25,2,0,0,88.9,4.9,2024年1～8月
102,*猇亭区,66,143,29,2,0,0,87.1,9.1,2024年1～8月
103,当阳市,64,148,27,4,1,0,86.9,5.4,2024年1～8月
104,宜都市,74,136,30,4,0,0,86.1,4.2,2024年1～8月
105,*西陵区,67,133,32,3,0,0,85.1,3.1,2024年1～8月
106,枝江市,72,132,36,3,1,0,83.6,2.1,2024年1～8月
107,*伍家岗区,61,134,35,8,0,0,81.9,-1.4,2024年1～8月
108,*点军区,61,127,39,5,0,0,81,0.7,2024年1～8月
109,*夷陵区,51,144,41,6,0,0,80.6,-3.1,2024年1～8月
110,*高新区,52,123,60,6,0,0,72.6,-3.5,2024年1～8月
111,国家考核区域,61,142,37,4,0,0,83.2,2.5,2024年1～8月
112,全市平均,,,,,,,87.2,2.5,2024年1～8月
113,五峰县,159,111,3,0,0,0,98.9,3,2024年1～9月
114,兴山县,134,132,5,0,0,0,98.2,4.1,2024年1～9月
115,秭归县,95,159,14,1,0,0,94.4,0.3,2024年1～9月
116,远安县,96,157,20,1,0,0,92.3,0,2024年1～9月
117,长阳县,91,149,31,2,0,0,87.9,2.1,2024年1～9月
118,当阳市,70,167,32,4,1,0,86.5,3,2024年1～9月
119,*猇亭区,70,162,35,2,0,0,86.2,6,2024年1～9月
120,宜都市,82,151,37,4,0,0,85,1.1,2024年1～9月
121,*西陵区,74,150,38,3,0,0,84.5,0.5,2024年1～9月
122,枝江市,78,151,41,3,1,0,83.6,0.4,2024年1～9月
123,*伍家岗区,66,153,41,8,0,0,81.7,-3.5,2024年1～9月
124,*夷陵区,55,165,46,6,0,0,80.9,-4.5,2024年1～9月
125,*点军区,65,144,45,5,0,0,80.7,-0.2,2024年1～9月
126,*高新区,57,139,66,8,0,0,72.6,-4.6,2024年1～9月
127,国家考核区域,66,161,43,4,0,0,82.8,0.4,2024年1～9月
128,全市平均,,,,,,,86.7,0.6,2024年1～9月
129,五峰县,181,120,3,0,0,0,99,2.7,2024年1～10月
130,兴山县,157,139,5,0,0,0,98.3,3.6,2024年1～10月
131,秭归县,114,171,14,1,0,0,95,0.3,2024年1～10月
132,远安县,109,175,20,1,0,0,93.1,0.4,2024年1～10月
133,长阳县,104,167,31,2,0,0,89.1,2.1,2024年1～10月
134,当阳市,81,187,32,4,1,0,87.9,3,2024年1～10月
135,*猇亭区,74,187,36,2,0,0,87.3,6.1,2024年1～10月
136,宜都市,93,171,37,4,0,0,86.6,1.1,2024年1～10月
137,*西陵区,89,165,38,3,0,0,86.1,0.5,2024年1～10月
138,枝江市,88,172,41,3,1,0,85.2,1.3,2024年1～10月
139,*伍家岗区,75,174,41,8,0,0,83.6,-3.1,2024年1～10月
140,*夷陵区,66,185,46,6,0,0,82.8,-4.2,2024年1～10月
141,*点军区,72,161,45,5,0,0,82.3,-0.6,2024年1～10月
142,*高新区,65,162,66,8,0,0,75.4,-3.5,2024年1～10月
143,国家考核区域,75,183,43,4,0,0,84.6,0.4,2024年1～10月
144,全市平均,,,,,,,88,0.7,2024年1～10月
145,五峰县,202,128,3,0,0,0,99.1,2.4,2024年1～11月
146,兴山县,184,142,5,0,0,0,98.5,3.3,2024年1～11月
147,秭归县,128,187,14,1,0,0,95.5,0.3,2024年1～11月
148,远安县,122,192,20,1,0,0,93.7,0.3,2024年1～11月
149,长阳县,119,181,31,2,0,0,90.1,2,2024年1～11月
150,当阳市,90,208,32,4,1,0,89,3.4,2024年1～11月
151,猇亭区,84,205,36,2,0,0,88.4,5.4,2024年1～11月
152,西陵区,100,182,38,3,0,0,87.3,0.4,2024年1～11月
153,宜都市,103,189,39,4,0,0,87.2,1.3,2024年1～11月
154,枝江市,98,192,41,3,1,0,86.6,1.3,2024年1～11月
155,伍家岗区,85,193,41,8,0,0,85,-2.9,2024年1～11月
156,夷陵区,78,203,46,6,0,0,84.4,-3.7,2024年1～11月
157,点军区,82,181,45,5,0,0,84,-0.4,2024年1～11月
158,高新区,76,181,66,8,0,0,77.6,-3.1,2024年1～11月
159,国家考核区域,87,201,43,4,0,0,86,0.4,2024年1～11月
160,全市平均,,,,,,,89,0.7,2024年1～11月
161,兴山县,192,165,5,0,0,0,98.6,3.8,2024年1～12月
162,五峰县,208,151,5,0,0,0,98.6,2.2,2024年1～12月
163,秭归县,134,208,18,1,0,0,94.7,0.2,2024年1～12月
164,远安县,125,219,21,1,0,0,94,2,2024年1～12月
165,长阳县,123,201,36,3,0,0,89.3,2.1,2024年1～12月
166,当阳市,90,233,35,7,1,0,88.3,4.2,2024年1～12月
167,*猇亭区,88,226,41,3,0,0,87.7,5.2,2024年1～12月
168,*西陵区,103,199,47,4,0,0,85.6,0.4,2024年1～12月
169,枝江市,103,210,47,5,1,0,85.5,1.1,2024年1～12月
170,宜都市,104,207,49,6,0,0,85,0.6,2024年1～12月
171,*夷陵区,81,224,53,6,0,0,83.8,-2.9,2024年1～12月
172,*点军区,84,200,52,6,0,0,83,0.1,2024年1～12月
173,*伍家岗区,89,207,51,10,0,0,82.9,-3.3,2024年1～12月
174,*高新区,78,195,79,10,0,0,75.4,-3.6,2024年1～12月
175,国家考核区域,89,220,52,5,0,0,84.4,0,2024年1～12月
176,全市平均,,,,,,,88,0.8,2024年1～12月
177,兴山县,19,36,4,0,0,0,93.2,-3.4,2025年1～2月
178,五峰县,18,34,4,2,0,0,89.7,-6.9,2025年1～2月
179,秭归县,11,37,8,3,0,0,81.4,-13.3,2025年1～2月
180,远安县,4,43,9,1,1,0,81,-8.8,2025年1～2月
181,枝江市,2,40,11,5,1,0,71.2,1.7,2025年1～2月
182,长阳县,7,34,11,4,2,0,70.7,-7.3,2025年1～2月
183,当阳市,1,40,11,7,0,0,69.5,-1.7,2025年1～2月
184,*点军区,5,33,9,5,3,0,69.1,7.6,2025年1～2月
185,*猇亭区,3,35,12,3,2,0,69.1,-2.8,2025年1～2月
186,*夷陵区,4,35,13,5,2,0,66.1,2.9,2025年1～2月
187,宜都市,2,33,15,5,4,0,59.3,-6.8,2025年1～2月
188,*西陵区,2,29,16,5,2,0,57.4,-11.6,2025年1～2月
189,*伍家岗区,2,29,17,4,3,0,56.4,-5,2025年1～2月
190,*高新区,2,26,18,6,3,0,50.9,-6.7,2025年1～2月
191,国家考核区域,2,34,15,5,3,0,61,-8.5,2025年1～2月
192,全市平均,,,,,,,70.4,-4.4,2025年1～2月
193,兴山县,37,48,5,0,0,0,94.4,-3.4,2025年1～3月
194,五峰县,34,49,4,2,0,0,93.3,-4.5,2025年1～3月
195,秭归县,20,59,8,3,0,0,87.8,-8.8,2025年1～3月
196,远安县,9,67,11,1,1,0,85.4,-8,2025年1～3月
197,枝江市,6,66,11,6,1,0,80,3.1,2025年1～3月
198,*点军区,16,51,11,5,3,0,77.9,7.7,2025年1～3月
199,当阳市,7,63,13,7,0,0,77.8,-1.3,2025年1～3月
200,长阳县,16,53,14,4,2,0,77.5,-8.2,2025年1～3月
201,*猇亭区,9,55,14,4,2,0,76.2,-0.2,2025年1～3月
