xh,lxsaj,lxsmc,yycs,xkjyyw,dh,bz
124,/,湖北外星旅行社有限公司,宜昌市西陵区珍珠路42-1号,国内旅游业务、入境旅游业务,6287698  6287598,
125,/,宜昌春江国际旅行社有限公司,湖北省宜昌市伍家岗区城东大道112号2栋19层1919室、1920室,国内旅游业务、入境旅游业务,6251508 6920386,
126,/,宜昌市旅邦旅行社有限公司,宜昌市伍家岗区沿江大道130号1栋2单元1203室,国内旅游业务、入境旅游业务,6281114 6481114,
127,/,宜昌华乐达游轮管理有限公司,湖北省宜昌市伍家岗区沿江大道特168-5号万达广场A座1008室,国内旅游业务、入境旅游业务,6551002  6943696,
128,/,湖北蛮惠浪旅游文化有限公司,湖北省宜昌市西陵区绿萝路4号-303,国内旅游业务、入境旅游业务,6204102  6716698,
129,/,宜昌辉途国际旅行社有限公司,宜昌市伍家岗区夷陵大道179号2单元10层2室,国内旅游业务、入境旅游业务,6855445 6855823,
130,/,湖北雅汇国际旅行社有限公司,湖北省宜昌市西陵区解放路52号三峡商城A座写字楼A806,国内旅游业务、入境旅游业务,6213196  6908101,
131,/,宜昌清江旅行社有限公司,宜都市陆城长江大道57号,国内旅游业务、入境旅游业务,4953118 4953001 ,
132,/,湖北万泰旅游有限公司,秭归县茅坪镇南郡大道10号市民广场大楼10楼,国内旅游业务、入境旅游业务,2661088 2661066  ,
133,/,宜昌尚客优旅游服务有限公司,当阳市玉泉办事处环城南路,国内旅游业务、入境旅游业务,3902266 3902228,
134,/,宜昌树懒假期国际旅行社有限公司,湖北省宜昌市西陵区星火路气象台小区4号,境内旅游业务、入境旅游业务,"6233066
6222880",
135,/,宜昌缆水国际旅行社有限公司,宜昌市夷陵区太平溪镇高峡大道4号,境内旅游业务、入境旅游业务,7511599,
136,/,湖北聚优游国际旅行社有限公司,湖北省宜昌市伍家岗区伍临路3-1-1306号,境内旅游业务、入境旅游业务,"6970897
6677176",
137,/,宜昌行思文化旅游有限公司,秭归县茅坪镇建平路17号(仅限办公用途),境内旅游业务、入境旅游业务,"6713399
6713398",
138,/,宜昌祥鹏旅行社有限公司,湖北省宜昌市西陵区培心路1号,境内旅游业务、入境旅游业务,"6287000
6287111",
139,/,宜昌青扬旅行社有限公司,湖北省宜昌市西陵区解放路52号三峡商城A座写字楼A806,境内旅游业务、入境旅游业务,"6971785
6181196",
140,/,湖北安馨国际旅行社有限公司,湖北省宜昌市西陵区环城南路9号紫晶城观澜1单元2101,境内旅游业务、入境旅游业务,"6738188
6533686",
141,/,湖北呆小贝国际旅行社有限公司,宜昌市西陵区解放路52号,境内旅游业务、入境旅游业务,"6760899
6760920",
142,/,宜都市青林旅行社有限公司,宜都市高坝洲镇青林寺村2-079号,境内旅游业务、入境旅游业务,"4772000
4772777",
143,/,湖北水电国际旅行社有限公司,湖北省宜昌市西陵区西陵云集路2-1-1203号,境内旅游业务、入境旅游业务,"6442806
6682068",
144,/,湖北九途国际旅行社有限公司,宜昌市夷陵区三斗坪镇园艺村二组,境内旅游业务、入境旅游业务,"7951678
7873678",
145,/,湖北鸿福国际旅行社有限公司,"宜昌市伍家岗区桔城路6号31栋1601,1619,1620室",境内旅游业务、入境旅游业务,"6682020
6226770",
146,/,湖北和合兴文化旅游有限公司,宜昌市西陵区西湖路25号住邦科技园A区5-4号,境内旅游业务、入境旅游业务,"6572275
6671508",
147,/,湖北橙力量国际旅行社有限公司,宜昌市西陵区大学路8号三峡大学创新创业基地,境内旅游业务、入境旅游业务,"6067301
6067302",
148,/,宜昌泰享旅行社有限公司,湖北省宜昌市西陵区培心路华银大厦B座12楼1203号,境内旅游业务、入境旅游业务,"6851116
6221331",
149,/,湖北恺益文化旅游有限公司,宜昌市伍家岗区伍临路33号6栋1楼,境内旅游业务、入境旅游业务,"6219788
6513788",
150,/,湖北诚之旅旅行社有限公司,宜昌市西陵区沿江大道83-2-602号,境内旅游业务、入境旅游业务,"6309980
6309981",
151,/,湖北山青水秀国际旅行社有限公司,湖北省宜昌市西陵区西陵一路19-1-2-2307号,境内旅游业务、入境旅游业务,"6216697
6216698",
152,/,宜昌青松国际旅行社有限公司,宜昌市西陵区夷陵大道52号-1-029号,境内旅游业务、入境旅游业务,"6065276
2196199",
