xh,px,xsq,bynd,bysj
197,5.0,宜都市,104,2025年1月
198,5.0,秭归县,104,2025年1月
199,6.0,远安县,105,2025年1月
200,7.0,*夷陵区,108,2025年1月
201,8.0,*伍家岗区,110,2025年1月
202,9.0,*点军区,112,2025年1月
203,10.0,枝江市,114,2025年1月
204,11.0,长阳县,116,2025年1月
205,12.0,*高新区,119,2025年1月
206,13.0,*猇亭区,120,2025年1月
207,7.171428571428572,主城区平均,112,2025年1月
208,7.171428571428572,全市平均,106,2025年1月
209,1.0,*点军区,86,2025年2月
210,1.0,*西陵区,86,2025年2月
211,2.0,*伍家岗区,88,2025年2月
212,2.0,五峰县,88,2025年2月
213,2.0,宜都市,88,2025年2月
214,3.0,远安县,89,2025年2月
215,4.0,当阳市,90,2025年2月
216,5.0,枝江市,91,2025年2月
217,5.0,*猇亭区,91,2025年2月
218,6.0,*夷陵区,93,2025年2月
219,7.0,兴山县,94,2025年2月
220,7.0,秭归县,94,2025年2月
221,8.0,*高新区,99,2025年2月
222,9.0,长阳县,102,2025年2月
223,7.171428571428572,国家考核区域,91,2025年2月
224,7.171428571428572,全市平均,91,2025年2月
225,1.0,兴山县,99,2025年3月
226,2.0,*点军区,103,2025年3月
227,3.0,五峰县,112,2025年3月
228,4.0,*伍家岗区,115,2025年3月
229,5.0,秭归县,116,2025年3月
230,6.0,*西陵区,117,2025年3月
231,7.0,*猇亭区,122,2025年3月
232,8.0,远安县,124,2025年3月
233,9.0,当阳市,126,2025年3月
234,10.0,长阳县,127,2025年3月
235,11.0,宜都市,128,2025年3月
236,12.0,*高新区,130,2025年3月
237,13.0,*夷陵区,132,2025年3月
238,14.0,枝江市,132,2025年3月
239,7.171428571428572,国家考核区域,121,2025年3月
240,7.171428571428572,全市平均,120,2025年3月
241,1.0,兴山县,118,2025年4月
242,2.0,五峰县,128,2025年4月
243,3.0,*伍家岗区,139,2025年4月
244,4.0,枝江市,142,2025年4月
245,5.0,宜都市,148,2025年4月
246,5.0,*西陵区,148,2025年4月
247,5.0,当阳市,148,2025年4月
248,6.0,*夷陵区,150,2025年4月
249,6.0,*点军区,150,2025年4月
250,7.0,*猇亭区,154,2025年4月
251,7.0,*高新区,154,2025年4月
252,8.0,秭归县,157,2025年4月
253,9.0,长阳县,160,2025年4月
254,10.0,远安县,165,2025年4月
255,7.171428571428572,国家考核区域,148,2025年4月
256,7.171428571428572,全市平均,147,2025年4月
257,1.0,五峰县,130,2025年5月
258,2.0,*点军区,143,2025年5月
259,3.0,*伍家岗区,143,2025年5月
260,4.0,兴山县,148,2025年5月
261,5.0,*猇亭区,152,2025年5月
262,6.0,*夷陵区,153,2025年5月
263,7.0,*西陵区,157,2025年5月
264,8.0,宜都市,162,2025年5月
265,9.0,枝江市,162,2025年5月
266,10.0,秭归县,165,2025年5月
267,11.0,当阳市,166,2025年5月
268,12.0,远安县,167,2025年5月
269,13.0,*高新区,172,2025年5月
270,14.0,长阳县,173,2025年5月
271,7.171428571428572,国家考核区域,152,2025年5月
272,7.171428571428572,全市平均,157,2025年5月
273,1.0,五峰县,136,2025年6月
274,2.0,*猇亭区,148,2025年6月
275,3.0,远安县,149,2025年6月
276,4.0,兴山县,149,2025年6月
277,5.0,*伍家岗区,150,2025年6月
278,6.0,*夷陵区,151,2025年6月
279,7.0,*西陵区,151,2025年6月
280,8.0,*点军区,155,2025年6月
281,9.0,宜都市,158,2025年6月
282,10.0,*高新区,159,2025年6月
283,11.0,当阳市,160,2025年6月
284,12.0,枝江市,162,2025年6月
285,13.0,长阳县,166,2025年6月
286,14.0,秭归县,171,2025年6月
287,7.171428571428572,国家考核区域,149,2025年6月
288,7.171428571428572,全市平均,155,2025年6月
289,1.0,五峰县,104,2025年7月
290,2.0,枝江市,122,2025年7月
291,3.0,兴山县,126,2025年7月
292,4.0,远安县,131,2025年7月
293,5.0,*伍家岗区,133,2025年7月
294,6.0,当阳市,136,2025年7月
295,7.0,秭归县,137,2025年7月
296,8.0,*夷陵区,142,2025年7月
297,9.0,*西陵区,143,2025年7月
298,10.0,*猇亭区,143,2025年7月
299,11.0,长阳县,143,2025年7月
300,12.0,*点军区,144,2025年7月
301,13.0,宜都市,145,2025年7月
302,14.0,*高新区,148,2025年7月
303,7.171428571428572,国家考核区域,141,2025年7月
304,7.171428571428572,全市平均,136,2025年7月
305,1.0,五峰县,101,2025年8月
306,2.0,兴山县,112,2025年8月
307,3.0,枝江市,114,2025年8月
308,4.0,*猇亭区,119,2025年8月
309,5.0,当阳市,124,2025年8月
310,6.0,远安县,126,2025年8月
311,7.0,*伍家岗区,129,2025年8月
312,8.0,秭归县,130,2025年8月
313,9.0,*夷陵区,132,2025年8月
314,10.0,宜都市,136,2025年8月
315,11.0,长阳县,140,2025年8月
316,12.0,*西陵区,142,2025年8月
317,13.0,*高新区,151,2025年8月
318,14.0,*点军区,155,2025年8月
319,7.171428571428572,国家考核区域,138,2025年8月
320,7.171428571428572,全市平均,129,2025年8月
